"filename", "language", "Markdown", "YAML", "Swift", "C++", "JSON", "HTML", "XML", "Dart", "Properties", "Groovy", "Java", "comment", "blank", "total"
"d:\OOAD Project\Veta\lib\screens\notification_loader.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 6, 35
"d:\OOAD Project\Veta\lib\screens\petcare_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 322, 0, 0, 0, 34, 27, 383
"d:\OOAD Project\Veta\lib\screens\responsive_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"d:\OOAD Project\Veta\lib\screens\select_doctor.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 23, 8, 150
"d:\OOAD Project\Veta\lib\screens\signin_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 11, 19, 258
"d:\OOAD Project\Veta\lib\screens\signup_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 509, 0, 0, 0, 25, 32, 566
"d:\OOAD Project\Veta\lib\screens\test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 472, 0, 0, 0, 9, 9, 490
"d:\OOAD Project\Veta\lib\screens\user_appointments.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 498, 0, 0, 0, 33, 9, 540
"d:\OOAD Project\Veta\lib\screens\user_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 3, 5, 71
"d:\OOAD Project\Veta\lib\util\my_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"d:\OOAD Project\Veta\lib\util\my_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\OOAD Project\Veta\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\OOAD Project\Veta\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\OOAD Project\Veta\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\OOAD Project\Veta\linux\my_application.cc", "C++", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\OOAD Project\Veta\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\OOAD Project\Veta\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"d:\OOAD Project\Veta\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\OOAD Project\Veta\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\OOAD Project\Veta\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
